Вопрос;Класс;;;;;;;;;;;;;;;;;;;;;;;;
На каком курсе зарегистрировано больше всего студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Как называется курс на котором зарегистрировано больше всего студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов которые зарегистрировались на некоторые курсы, но у этих студентов наименьшее количество курсов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов которые зарегистрировались на некоторые курсы, но имели наименьшее количество курсов среди студентов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие имена и фамилии у всех кандидатов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов, которые никогда не посещали курсы?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие студенты посещали курсы?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие студенты посетили хотя бы один курс?;1;;;;;;;;;;;;;;;;;;;;;;;;
Перечислите id студентов и название курсов, на которые эти студенты зарегистрированы;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести подробности о студенте, который последним зарегистрировался на курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько студентов посетили курс по английскому?;1;;;;;;;;;;;;;;;;;;;;;;;;
Сколько курсов посетил студент с id 171?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите id кандидата, у которого email stanley.monahan@example.org;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите id кандидата, который последний раз посещал курс;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести подробности о студенте, который зарегистрировался на наибольшее количество курсов?;1;;;;;;;;;;;;;;;;;;;;;;;;
Укажите id студентов, зарегистрировавшихся на курсы, и количество курсов, на которые они зарегистрированы;1;;;;;;;;;;;;;;;;;;;;;;;;
Укажите название курса и количество студентов, зарегистрированных на этом курсе;1;;;;;;;;;;;;;;;;;;;;;;;;
Для каждого id и названия курса вывести количество зарегистрированных студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
"У каких кандидатов asessment_outcome_code ""Pass""?";1;;;;;;;;;;;;;;;;;;;;;;;;
"Найти номера телефонов кандидатов, имеющих asessment_outcome_code ""Fail""";1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов которые посетили курс с id 301?;1;;;;;;;;;;;;;;;;;;;;;;;;
Какой id у студента который последним посетил курс с id 301?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите уникальные города по адресам людей;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие различные города проживания людей есть в базе данных?;1;;;;;;;;;;;;;;;;;;;;;;;;
Найдите уникальные города по адресам студентов;1;;;;;;;;;;;;;;;;;;;;;;;;
Перечислите названия курсов в алфавитном порядке;1;;;;;;;;;;;;;;;;;;;;;;;;
Перечислите имена людей в алфавитном порядке;1;;;;;;;;;;;;;;;;;;;;;;;;
Какие id у студентов которые зарегистрировались на курс или посетили его?;1;;;;;;;;;;;;;;;;;;;;;;;;
Вывести всю информацию о регистрациях студентов, которые зарегистрировались на курс (или курсы), но не посетили ни один из них;1;;;;;;;;;;;;;;;;;;;;;;;;
